SPUID,volume_pkid
SP0001,"4, 68"
SP0002,72
SP0003,16
SP0005,13
SP0006,47
SP0007,71
SP0008,72
SP0009,4
SP0010,2
SP0011,2
SP0012,5
SP0015,"6, 9"
SP0016,67
SP0017,"19, 21"
SP0018,45
SP0019,"7, 20, 47"
SP0020,"13, 23"
SP0021,"19, 33, 53, 63"
SP0022,9
SP0023,3
SP0024,3
SP0025,66
SP0028,3
SP0029,68
SP0032,21
SP0033,71
SP0034,"3, 41"
SP0037,18
SP0045,17
SP0046,57
SP0047,50
SP0049,12
SP0050,12
SP0051,18
SP0054,12
SP0055,72
SP0059,27
SP0060,"47, 58"
SP0061,"9, 14, 34"
SP0062,65
SP0063,"29, 57"
SP0064,"22, 44, 46"
SP0065,21
SP0066,15
SP0068,"1, 4,  8, 26, 37"
SP0069,5
SP0071,24
SP0073,48
SP0075,62
SP0076,3
SP0078,15
SP0080,33
SP0082,54
SP0083,18
SP0085,30
SP0087,42
SP0089,58
SP0090,12
SP0092,27
SP0094,35
SP0096,55
SP0098,18
SP0099,42
SP0101,11
SP0102,"59, 61"
SP0108,17
SP0109,17
SP0110,17
SP0111,17
SP0112,
